"file_name","part_code","day_of_recording","recording_number","topic","file_name_csv","duration_original","vocab_size","age","order"
"P_0300_22_5_NAPPY__","P_0300",65,5,"NAPPY","P_0300_22_5_NAPPY__.csv",601,18,22.55391899,176
"P_0193_22_8_NAPPY__","P_0193",140,8,"NAPPY","P_0193_22_8_NAPPY__.csv",1585,211,22.52104156,177
"P_0418_24_10_PLAY__","P_0418",175,10,"PLAY","P_0418_24_10_PLAY__.csv",993,121,24.5594424,178
"P_0286_21_1_MEAL__","P_0286",30,1,"MEAL","P_0286_21_1_MEAL__.csv",1286,119,21.00867964,179
"P_0516_14_1_MEAL__","P_0516",23,1,"MEAL","P_0516_14_1_MEAL__.csv",952,22,14.17017359,180
"P_0229_21_2_BED__","P_0229",45,2,"BED","P_0229_21_2_BED__.csv",842,101,21.23882167,181
"P_0376_16_6_MEAL__","P_0376",110,6,"MEAL","P_0376_16_6_MEAL__.csv",2047,98,16.99763282,182
"P_0296_24_8_BATH__","P_0296",90,8,"BATH","P_0296_24_8_BATH__.csv",879,270,24.23066807,183
"P_0346_22_9_BATH__","P_0346",169,9,"BATH","P_0346_22_9_BATH__.csv",1268,121,22.71830615,184
"P_0329_21_3_NAPPY__","P_0329",77,3,"NAPPY","P_0329_21_3_NAPPY__.csv",807,35,21.79773803,185
"P_0209_21_3_PLAY__","P_0209",62,3,"PLAY","P_0209_21_3_PLAY__.csv",1387,95,21.27169911,186
"P_0502_20_5_MEAL__","P_0502",115,5,"MEAL","P_0502_20_5_MEAL__.csv",265,128,20.41688585,187
"P_0266_24_5_MEAL__","P_0266",117,5,"MEAL","P_0266_24_5_MEAL__.csv",1847,65,24.72382956,188
"P_0266_24_4_PLAY__","P_0266",104,4,"PLAY","P_0266_24_4_PLAY__.csv",2459,44,24.32930037,189
"P_0329_20_2_BED__BATH","P_0329",45,2,"BED","P_0329_20_2_BED__BATH.csv",1136,17,20.48264072,190
"P_0346_19_2_PLAY__","P_0346",65,2,"PLAY","P_0346_19_2_PLAY__.csv",1503,19,19.364808,191
"P_0369_26_3_MEAL__","P_0369",118,3,"MEAL","P_0369_26_3_MEAL__.csv",1519,223,26.20331405,192
"P_0505_18_10_BATH__","P_0505",167,10,"BATH","P_0505_18_10_BATH__.csv",1203,61,18.50999474,193
"P_0471_26_5_PLAY__","P_0471",47,5,"PLAY","P_0471_26_5_PLAY__.csv",2593,140,26.20331405,194
"P_0300_21_3_PLAY__","P_0300",48,3,"PLAY","P_0300_21_3_PLAY__.csv",410,16,21.92924776,195
"P_0248_23_6_NAPPY__","P_0248",166,6,"NAPPY","P_0248_23_6_NAPPY__.csv",397,205,23.54024198,196
"P_0524_24_8_BATH__","P_0524",112,8,"BATH","P_0524_24_8_BATH__.csv",654,167,24.59231983,197
"P_0259_23_5_PLAY__","P_0259",139,5,"PLAY","P_0259_23_5_PLAY__.csv",2171,301,23.57311941,198
"P_0163_23_2_BED__","P_0163",14,2,"BED","P_0163_23_2_BED__.csv",1334,253,23.17859022,199
"P_0220_20_2_NAPPY__","P_0220",79,2,"NAPPY","P_0220_20_2_NAPPY__.csv",1000,155,20.91004734,200
"P_0146_28_5_PLAY__","P_0146",122,5,"PLAY","P_0146_28_5_PLAY__.csv",2167,40,28.04445029,201
"P_0440_21_4_BATH__","P_0440",95,4,"BATH","P_0440_21_4_BATH__.csv",1298,20,21.27169911,202
"P_0359_19_7_BATH__","P_0359",84,7,"BATH","P_0359_19_7_BATH__.csv",1449,20,19.98947922,203
"P_0193_18_2_MEAL__","P_0193",16,2,"MEAL","P_0193_18_2_MEAL__.csv",2443,24,18.44423987,204
"P_0436_18_2_NAPPY__","P_0436",163,2,"NAPPY","P_0436_18_2_NAPPY__.csv",361,147,18.70725934,205
"P_0296_23_7_NAPPY__","P_0296",80,7,"NAPPY","P_0296_23_7_NAPPY__.csv",541,254,23.90189374,206
"P_0280_26_5_BATH__","P_0280",75,5,"BATH","P_0280_26_5_BATH__.csv",1244,116,26.46633351,207
"P_0146_26_2_BATH__","P_0146",68,2,"BATH","P_0146_26_2_BATH__.csv",1738,23,26.53208837,208
"P_0463_15_2_MEAL__","P_0463",33,2,"MEAL","P_0463_15_2_MEAL__.csv",1690,12,15.02498685,209
"P_0408_18_4_NAPPY__","P_0408",78,4,"NAPPY","P_0408_18_4_NAPPY__.csv",1986,37,18.8716465,210
"P_0463_19_9_BATH__","P_0463",168,9,"BATH","P_0463_19_9_BATH__.csv",1625,351,19.49631773,211
"P_0193_23_9_BATH__","P_0193",156,9,"BATH","P_0193_23_9_BATH__.csv",2178,263,23.04708048,212
"P_0502_20_6_BED__","P_0502",129,6,"BED","P_0502_20_6_BED__.csv",681,136,20.81141504,213
"P_0440_20_3_BED__","P_0440",62,3,"BED","P_0440_20_3_BED__.csv",558,13,20.12098895,214
"P_0369_27_5_NAPPY__MEAL","P_0369",158,5,"NAPPY","P_0369_27_5_NAPPY__MEAL.csv",793,349,27.51841136,215
"P_0310_18_8_PLAY__","P_0310",157,8,"PLAY","P_0310_18_8_PLAY__.csv",2414,32,18.8716465,216
"P_0458_19_7_MEAL__","P_0458",130,7,"MEAL","P_0458_19_7_MEAL__.csv",2445,140,19.29905313,217
"P_0404_20_8_PLAY__","P_0404",140,8,"PLAY","P_0404_20_8_PLAY__.csv",2270,223,20.18674382,218
"P_0329_22_5_PLAY__","P_0329",115,5,"PLAY","P_0329_22_5_PLAY__.csv",1687,41,22.94844819,219
"P_0324_16_2_MEAL__","P_0324",55,2,"MEAL","P_0324_16_2_MEAL__.csv",631,42,16.93187796,220
"P_0183_23_3_NAPPY__","P_0183",60,3,"NAPPY","P_0183_23_3_NAPPY__.csv",1818,119,23.01420305,221
